Unnamed: 0,review_id,rating_date,count_helpful,count_unhelpful,employee_length,employee_status,employee_type,flag_covid,flag_featured,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,summary,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,summary_cleaned,advice_to_management_cleaned,review_pros_cleaned,review_cons_cleaned,sentiment_polarity,sentiment_subjectivity,sentiment_label
25,26,2025-04-02T00:00:00.000Z,0.0,0.0,1.0,REGULAR,"Current employee, less than 1 year",False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1.0,1.0,1,1.0,Avoid working here at all cost,"Saint Peters, MO",Picker,,"Always hours available, anytime pay","Long hours, minimal light, will write you up for bathroom breaks, mandatory overtime with little to no heads up. This place drains you emotionally and physically.",1.0,1.0,1.0,avoid working cost,,always hours available anytime pay,long hours minimal light write bathroom breaks mandatory overtime little heads place drains emotionally physically,0.0,0.0,neutral
26,27,2025-04-01T00:00:00.000Z,0.0,0.0,0.0,PART_TIME,Current employee,False,False,,,,0.0,0.0,4,0.0,Ok,"Corona, CA",Warehouse,,Easy starter job to work at,Can be fast paced and employment depends on management,0.0,0.0,0.0,ok,,easy starter job work,fast paced employment depends management,0.5,0.5,positive
27,28,2025-03-31T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Current employee,False,False,,,,3.0,3.0,3,5.0,Amazon Fulfillment Center,Illescas,Mozo de almac%C3%A9n,,"Seguridad, compañerismo, comodidad, rotativos, adaptabilidad","Trabajo cansado, fines de semana, no posibilidad de cobrar más",3.0,3.0,2.0,amazon fulfillment center,,seguridad compañerismo comodidad rotativos adaptabilidad,trabajo cansado fines de semana posibilidad de cobrar más,-0.1,0.1,neutral
28,29,2025-03-31T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Former employee,False,False,,,,0.0,0.0,4,0.0,fun,"San Bernardino, CA",Inbound Stower,,benefits and not bad pay,no cons it was easy work people just complain,0.0,0.0,0.0,fun,,benefits bad pay,cons easy work people complain,0.3,0.2,positive
29,30,2025-03-31T00:00:00.000Z,0.0,0.0,1.0,REGULAR,"Current employee, less than 1 year",False,False,,,,0.0,0.0,5,0.0,Fulfillment Center,"Aurora, CO",Warehouse Associate,,"Flexible Schedule
4 day/10 hour shifts
Low Stress Environment
Frequent Overtime Opportunity","Monotonous Work
Not Particularly Rewarding Work
Work Can Become Slow from January to May",0.0,0.0,0.0,fulfillment center,,flexible schedule 4 day10 hour shifts low stress environment frequent overtime opportunity,monotonous work particularly rewarding work work become slow january may,-0.1,0.1,neutral
30,31,2025-03-31T00:00:00.000Z,0.0,0.0,0.0,,Former employee,False,False,,,,0.0,0.0,4,0.0,Buen trabajo,Coslada,Mozo De Almacen,,"Buen sueldo, ambiente laboral agradable, respeto por las normas de seguridad","Descanso muy corto, muchos jefes por lo que las ordenes pueden variar de uno a otro y puede confundir al empleado.",0.0,0.0,0.0,buen trabajo,,buen sueldo ambiente laboral agradable respeto por las normas de seguridad,descanso muy corto muchos jefes por lo que las ordenes pueden variar de uno otro puede confundir al empleado,0.0,0.0,neutral
31,32,2025-03-27T00:00:00.000Z,0.0,0.0,2.0,REGULAR,Current employees,False,False,NEGATIVE,APPROVE,NEGATIVE,3.0,4.0,3,3.0,Amazon Warehouse Associate,"Ottawa, ON",Process Associate,"Try to focus more on employee engagement and break the barriers of community, race or personal biases
Give opportunities to employees to grow rather than nurturing a neo slavery attitude
There are many associates who are skilled and experienced but working in warehouse due to personal situation. Leadership should give them opportunity to optimize their skills and experience rather than taking their advantage and utilizing them for only labor works.","Best in class work environment
Experience working in robotic environment
Competitive work benefits and accommodations","Too much physical work with not much of Job security
Pressure for target work negatively impact physical and mental health
Biased leadership - does not justify experience skills or ability but personal connections and nepotism works more for training promotion and preferred job roles",3.0,2.0,3.0,amazon warehouse associate,try focus employee engagement break barriers community race personal biases give opportunities employees grow rather nurturing neo slavery attitude many associates skilled experienced working warehouse due personal situation leadership give opportunity optimize skills experience rather taking advantage utilizing labor works,best class work environment experience working robotic environment competitive work benefits accommodations,much physical work much job security pressure target work negatively impact physical mental health biased leadership justify experience skills ability personal connections nepotism works training promotion preferred job roles,0.0,0.0,neutral
32,33,2025-03-26T00:00:00.000Z,0.0,0.0,1.0,REGULAR,"Former employee, less than 1 year",False,False,NEUTRAL,APPROVE,POSITIVE,0.0,0.0,4,0.0,Hard work but decent pay,"Edgemere, MD",Order Picker,,"Good benefits, decent time off opportunities. Automatic hire without an interview.",Management will move you around the building a lot. I was a top performer in order picking and was moved to pack nearly every day.,0.0,0.0,0.0,hard work decent pay,,good benefits decent time opportunities automatic hire without interview,management move around building lot top performer order picking moved pack nearly every day,-0.06250000000000001,0.6041666666666666,neutral
33,34,2025-03-26T00:00:00.000Z,0.0,0.0,1.0,PART_TIME,"Former employee, less than 1 year",False,False,,,POSITIVE,3.0,4.0,4,3.0,amzn,"San Antonio, TX",Fulfullment Associate,,They pay for you if you want to go to college.,it's just a lot of work you have to do,2.0,1.0,3.0,amzn,,pay want go college,lot work,0.0,0.0,neutral
34,35,2025-03-24T00:00:00.000Z,0.0,0.0,2.0,REGULAR,Current employees,False,False,NEGATIVE,,NEGATIVE,4.0,3.0,3,4.0,Salary,"Ajax, ON",Warehouse Associate,,"Good pay and benefits
Good people 
Safety first","Biased management 
Work like robots
No growth/opportunities",4.0,1.0,1.0,salary,,good pay benefits good people safety first,biased management work like robots growthopportunities,0.0,0.0,neutral
35,36,2025-03-20T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Former employee,False,False,,,,0.0,0.0,3,0.0,Amazon Warehouse,"Grand Rapids, MI",Warehouse Team Member,,It was close to home,Gloves were not strong enough,0.0,0.0,0.0,amazon warehouse,,close home,gloves strong enough,0.0,0.0,neutral
36,37,2025-03-19T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Current employee,False,False,,,NEGATIVE,2.0,2.0,3,1.0,Good experience,"Tracy, CA",,,Good experience for fresh college graduate,very loud noise in Fulfillment center,3.0,1.0,4.0,good experience,,good experience fresh college graduate,loud noise fulfillment center,0.7,0.6000000000000001,positive
37,38,2025-03-19T00:00:00.000Z,0.0,0.0,1.0,PART_TIME,"Former employee, less than 1 year",False,False,,,,0.0,0.0,4,0.0,Good place to work seasonally,"West Jefferson, OH",Associate,,#NAME?,#NAME?,0.0,0.0,0.0,good place work seasonally,,name,name,0.7,0.6000000000000001,positive
38,39,2025-03-18T00:00:00.000Z,0.0,0.0,1.0,CONTRACT,"Former employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,4.0,5.0,5,4.0,Inbound Receiving,"Brampton, ON",Warehouse Associate,,"Good work culture and pay also
events for extracurriculam activity",Quiet racist because most employee is belong from one group or race,5.0,5.0,5.0,inbound receiving,,good work culture pay also events extracurriculam activity,quiet racist employee belong one group race,0.0,0.0,neutral
39,40,2025-03-18T00:00:00.000Z,0.0,0.0,2.0,REGULAR,Current employees,False,False,,,,5.0,5.0,5,5.0,Satisfied,"London, ON",Associate,,Work life balance and benefits,Mandatory extra time is required,5.0,5.0,5.0,satisfied,,work life balance benefits,mandatory extra time required,0.5,1.0,positive
40,41,2025-03-13T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Former employee,False,False,,,POSITIVE,3.0,2.0,4,4.0,Easy money,,AA(Amazon Associate),,The pay and benefits are really good,Toxic work environment and favoritism,5.0,4.0,4.0,easy money,,pay benefits really good,toxic work environment favoritism,0.43333333333333335,0.8333333333333334,positive
41,42,2025-03-12T00:00:00.000Z,0.0,0.0,0.0,PART_TIME,Former employee,False,False,,,,0.0,0.0,4,0.0,Good salary and benefits,"Mississauga, ON",Warehouse Worker,,"Attractive pay , Employee Benefits",Contractual basis hiring based on business need,0.0,0.0,0.0,good salary benefits,,attractive pay employee benefits,contractual basis hiring based business need,0.7,0.6000000000000001,positive
42,43,2025-03-08T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Current employee,False,False,POSITIVE,APPROVE,POSITIVE,5.0,5.0,4,1.0,Muy buena opción de trabajo.,,Mozo De Almacen,Tener coche propio ya que no hay manera de trasladarse en transporte público.,"Muy Buenos beneficios.
Exelente ambiente de trabajo.
Ambiente de trabajo muy seguro.
Posibilidad de hacer carrera dentro de la empresa.","Salario no esta mal, pero se podría mejorar mucho más para el trabajo que se hace allí.
Horarios rotativos (no te permite crear hábitos saludables ya que constantemente estás cambiando tu rutina diaria).
Trabajo fines de semana.
Trabajo muy repetitivo..",3.0,3.0,3.0,muy buena opción de trabajo,tener coche propio ya que hay manera de trasladarse en transporte público,muy buenos beneficios exelente ambiente de trabajo ambiente de trabajo muy seguro posibilidad de hacer carrera dentro de la empresa,salario esta mal pero se podría mejorar mucho más para el trabajo que se hace allí horarios rotativos te permite crear hábitos saludables ya que constantemente estás cambiando tu rutina diaria trabajo fines de semana trabajo muy repetitivo,0.0,0.0,neutral
43,44,2025-03-07T00:00:00.000Z,0.0,0.0,4.0,REGULAR,Former employees,False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1.0,1.0,2,1.0,culture terrible,"San Antonio, TX",Pathways Operations Manager,,Pay is comparable for ops,"poor work life balance, lack of leadership, very stressful job. No clear way for promotion or anyone to help you get there.",4.0,1.0,3.0,culture terrible,,pay comparable ops,poor work life balance lack leadership stressful job clear way promotion anyone help get,-1.0,1.0,negative
44,45,2025-03-05T00:00:00.000Z,0.0,0.0,0.0,REGULAR,Current employee,False,False,,,,0.0,0.0,4,0.0,Easy work,"Bolton, ON",Warehouse Associate,,"Career Choice program is a great way to start new career.
Good benefits",Co-workers speak in non English to each other infront of you.,0.0,0.0,0.0,easy work,,career choice program great way start new career good benefits,coworkers speak non english infront,0.43333333333333335,0.8333333333333334,positive
45,46,2025-03-03T00:00:00.000Z,0.0,0.0,0.0,PART_TIME,Current employee,False,False,,,,0.0,0.0,5,0.0,Cool place to work,"Waukegan, IL",FC Associate,,Room to excel in your position,Extra shifts are never available,0.0,0.0,0.0,cool place work,,room excel position,extra shifts never available,0.35,0.65,positive
46,47,2025-03-03T00:00:00.000Z,0.0,0.0,2.0,PART_TIME,Current employees,False,False,,,,4.0,4.0,5,5.0,Not bad,"Kent, WA",Flex Associate,,Choose own hours and the work is not bad once you get use to it,Could be moved around a lot depending on different departments and sometimes hard to find shifts that you want to work in,4.0,5.0,4.0,bad,,choose hours work bad get use,could moved around lot depending different departments sometimes hard find shifts want work,-0.6999999999999998,0.6666666666666666,negative
47,48,2025-03-03T00:00:00.000Z,0.0,0.0,2.0,REGULAR,Current employees,False,False,NEUTRAL,APPROVE,POSITIVE,5.0,5.0,3,2.0,"Review of Fulfillment Centre at St. Thomas, ON",,FC Associate I,"- Provide everyone equal chance
- Make All managers more responsible towards all associates bcz sometimes associates don't know the actual information of them when they ask help from managers and what they say to HR or Safety team
- Hiring of positions specially PA(Process Assistant) and Learning needs to be evaluated based on your ground level performance not based on connections (if your relatives who are in higher position get  hired in PA / Learning ) 
- Safety team needs to be more responsible bcz mostly they don't took actions against managers who needs more productivity to get promoted so that Associates are presurised to maintain those productivity and compromise safety which ultimately creates critical health issues for associates
- Some associates got less work or promoted or learn new skills compared to others as they are favourite of Managers or relatives. Plz stop this to be fair with everyone","Pay and Benefits they provide like maternity, accommodation, insurance","Work-life balance, Continuous work without sitting, almost all location with no public transportation, lack of chance in promotion and new skills as they show they are giving fair chance to everyone but it's not true at ground level. The people of certain community especially punjabi's got promotions at HR, PA and Manager level. Lack of support from HR as they are not giving proper information when you actually need. Safety at ground level is compromised by managers bcz they want more productivity to get promotion. The people who always praised their managers got extra-benefits on work and able to learn new skills than other hard-working associates",5.0,3.0,3.0,review fulfillment centre st thomas,provide everyone equal chance make managers responsible towards associates bcz sometimes associates dont know actual information ask help managers say hr safety team hiring positions specially paprocess assistant learning needs evaluated based ground level performance based connections relatives higher position get hired pa learning safety team needs responsible bcz mostly dont took actions managers needs productivity get promoted associates presurised maintain productivity compromise safety ultimately creates critical health issues associates associates got less work promoted learn new skills compared others favourite managers relatives plz stop fair everyone,pay benefits provide like maternity accommodation insurance,worklife balance continuous work without sitting almost location public transportation lack chance promotion new skills show giving fair chance everyone true ground level people certain community especially punjabis got promotions hr pa manager level lack support hr giving proper information actually need safety ground level compromised managers bcz want productivity get promotion people always praised managers got extrabenefits work able learn new skills hardworking associates,0.0,0.0,neutral
48,49,2025-03-02T00:00:00.000Z,0.0,0.0,2.0,REGULAR,Former employees,False,False,NEUTRAL,NO_OPINION,NEGATIVE,1.0,3.0,3,5.0,Too monotonous for me.,"Bessemer, AL",Inbound Stower,"I understood the safety risk thing but the rule against having SOMETHING to distract you from the noise in your head for 10-11 hrs day after day when you're someone like me was kinda rough. Almost torturous. Just let people listen to music, man. lol",I got plenty of time off for mental stuff when I needed it when other places would have fired me,Then again.. this company might've contributed alot to why I needed so much time off lmao,4.0,1.0,1.0,monotonous,understood safety risk thing rule something distract noise head 1011 hrs day day youre someone like kinda rough almost torturous let people listen music man lol,got plenty time mental stuff needed places would fired,company mightve contributed alot needed much time lmao,0.0,0.0,neutral
49,50,2025-03-01T00:00:00.000Z,0.0,0.0,4.0,PART_TIME,Current employees,False,False,,,,0.0,0.0,5,0.0,It was alright.,"Hawthorne, CA",Warehouse Associate,,Great experience because I got to see the warehouse built from ground up.,Became repetitive at some point.,0.0,0.0,0.0,alright,,great experience got see warehouse built ground,became repetitive point,0.0,0.0,neutral
50,51,2025-03-01T00:00:00.000Z,0.0,0.0,6.0,REGULAR,Current employees,False,False,,,NEGATIVE,1.0,1.0,1,4.0,Workplace toxicity and favoritism,Sydney,IT Support Engineer,Apply practices that you preach and ensure it is followed by all and not just by the employees in the lower tier of the Organization's hierarchy. Train the Leaders and make sure they are doing due deligence for their role. Training future leaders won't make a bigger impact if the current leaders are exercising bias and have toxic traits while moving up the ladder.,A bit of learning if you are at the right place and the right team or assigned the right team member as a mentor.,"Don't bother joining IT though, there are no financial perks in it since they don't have casual/contract roles. The contract is cleverly worded to get you to work on weekends/night shifts without offering weekend/night shift allowances. No on-call pay either but they do reimburse *mobile bills*.
I have seen this culture in all departments and more so in IT.
Excessive flattery towards leadership, playing office politics, Seeking favoritism from leadership, appeasing leadership for personal gain, unhealthy admiration of authority, prioritizing leadership approval over team collaboration, performing for leadership rather than contributing meaningfully, Dysfunctional work environment, Hostile workplace dynamics, Unhealthy team culture, Negative organizational climate, Counterproductive work atmosphere, Culture of fear and favoritism, Lack of psychological safety in the workplace, Unprofessional and unsupportive work environment, Workplace toxicity and favoritism.",1.0,1.0,2.0,workplace toxicity favoritism,apply practices preach ensure followed employees lower tier organizations hierarchy train leaders make sure due deligence role training future leaders wont make bigger impact current leaders exercising bias toxic traits moving ladder,bit learning right place right team assigned right team member mentor,dont bother joining though financial perks since dont casualcontract roles contract cleverly worded get work weekendsnight shifts without offering weekendnight shift allowances oncall pay either reimburse mobile bills seen culture departments excessive flattery towards leadership playing office politics seeking favoritism leadership appeasing leadership personal gain unhealthy admiration authority prioritizing leadership approval team collaboration performing leadership rather contributing meaningfully dysfunctional work environment hostile workplace dynamics unhealthy team culture negative organizational climate counterproductive work atmosphere culture fear favoritism lack psychological safety workplace unprofessional unsupportive work environment workplace toxicity favoritism,0.0,0.0,neutral
51,52,2025-03-01T00:00:00.000Z,0.0,0.0,2.0,REGULAR,Former employees,False,False,POSITIVE,APPROVE,POSITIVE,5.0,5.0,4,4.0,Pros and cons,"Whitestown, IN",Warehouse Associate,Better pay hire on opportunity insurance for employees,Good place to work for lots of hours and keep you busy no down time .,Cons low pay no insurance temp service position,1.0,5.0,1.0,pros cons,better pay hire opportunity insurance employees,good place work lots hours keep busy time,cons low pay insurance temp service position,0.0,0.0,neutral
